Estimations_SA1_h8_R100_  1,Estimations_SA1_h8_R100_  2,Estimations_SA1_h8_R100_  3,Estimations_SA1_h8_R100_  4,Estimations_SA1_h8_R100_  5,Estimations_SA1_h8_R100_  6,Estimations_SA1_h8_R100_  7,Estimations_SA1_h8_R100_  8,Estimations_SA1_h8_R100_  9,Estimations_SA1_h8_R100_ 10,Estimations_SA1_h8_R100_ 11,Estimations_SA1_h8_R100_ 12,Estimations_SA1_h8_R100_ 13,Estimations_SA1_h8_R100_ 14,Estimations_SA1_h8_R100_ 15,Estimations_SA1_h8_R100_ 16,Estimations_SA1_h8_R100_ 17,Estimations_SA1_h8_R100_ 18,Estimations_SA1_h8_R100_ 19,Estimations_SA1_h8_R100_ 20,Estimations_SA1_h8_R100_ 21,Estimations_SA1_h8_R100_ 22,Estimations_SA1_h8_R100_ 23,Estimations_SA1_h8_R100_ 24,Estimations_SA1_h8_R100_ 25,Estimations_SA1_h8_R100_ 26,Estimations_SA1_h8_R100_ 27,Estimations_SA1_h8_R100_ 28,Estimations_SA1_h8_R100_ 29,Estimations_SA1_h8_R100_ 30,Estimations_SA1_h8_R100_ 31,Estimations_SA1_h8_R100_ 32,Estimations_SA1_h8_R100_ 33,Estimations_SA1_h8_R100_ 34,Estimations_SA1_h8_R100_ 35,Estimations_SA1_h8_R100_ 36,Estimations_SA1_h8_R100_ 37,Estimations_SA1_h8_R100_ 38,Estimations_SA1_h8_R100_ 39,Estimations_SA1_h8_R100_ 40,Estimations_SA1_h8_R100_ 41,Estimations_SA1_h8_R100_ 42,Estimations_SA1_h8_R100_ 43,Estimations_SA1_h8_R100_ 44,Estimations_SA1_h8_R100_ 45,Estimations_SA1_h8_R100_ 46,Estimations_SA1_h8_R100_ 47,Estimations_SA1_h8_R100_ 48,Estimations_SA1_h8_R100_ 49,Estimations_SA1_h8_R100_ 50,Estimations_SA1_h8_R100_ 51,Estimations_SA1_h8_R100_ 52,Estimations_SA1_h8_R100_ 53,Estimations_SA1_h8_R100_ 54,Estimations_SA1_h8_R100_ 55,Estimations_SA1_h8_R100_ 56,Estimations_SA1_h8_R100_ 57,Estimations_SA1_h8_R100_ 58,Estimations_SA1_h8_R100_ 59,Estimations_SA1_h8_R100_ 60,Estimations_SA1_h8_R100_ 61,Estimations_SA1_h8_R100_ 62,Estimations_SA1_h8_R100_ 63,Estimations_SA1_h8_R100_ 64,Estimations_SA1_h8_R100_ 65,Estimations_SA1_h8_R100_ 66,Estimations_SA1_h8_R100_ 67,Estimations_SA1_h8_R100_ 68,Estimations_SA1_h8_R100_ 69,Estimations_SA1_h8_R100_ 70,Estimations_SA1_h8_R100_ 71,Estimations_SA1_h8_R100_ 72,Estimations_SA1_h8_R100_ 73,Estimations_SA1_h8_R100_ 74,Estimations_SA1_h8_R100_ 75,Estimations_SA1_h8_R100_ 76,Estimations_SA1_h8_R100_ 77,Estimations_SA1_h8_R100_ 78,Estimations_SA1_h8_R100_ 79,Estimations_SA1_h8_R100_ 80,Estimations_SA1_h8_R100_ 81,Estimations_SA1_h8_R100_ 82,Estimations_SA1_h8_R100_ 83,Estimations_SA1_h8_R100_ 84,Estimations_SA1_h8_R100_ 85,Estimations_SA1_h8_R100_ 86,Estimations_SA1_h8_R100_ 87,Estimations_SA1_h8_R100_ 88,Estimations_SA1_h8_R100_ 89,Estimations_SA1_h8_R100_ 90,Estimations_SA1_h8_R100_ 91,Estimations_SA1_h8_R100_ 92,Estimations_SA1_h8_R100_ 93,Estimations_SA1_h8_R100_ 94,Estimations_SA1_h8_R100_ 95,Estimations_SA1_h8_R100_ 96,Estimations_SA1_h8_R100_ 97,Estimations_SA1_h8_R100_ 98,Estimations_SA1_h8_R100_ 99,Estimations_SA1_h8_R100_100,Estimations_SA1_h8_R100_101
21188,18295,20684,18533,19483,21448,19450,21704,22493,19971,20026,21466,20188,21093,22082,18514,21402,21293,21595,20093,19941,20641,21990,18657,19862,23767,21653,21929,20917,19601,18509,19685,19472,18610,21223,21107,20966,20543,23237,21609,20126,21567,20593,22580,20549,21558,21207,21383,20096,18933,23135,18511,21482,20261,22519,20927,20622,21049,19255,19576,20544,21754,19156,20110,19710,22150,20623,20884,20868,19914,25339,20129,18345,19030,23041,23931,19957,21238,20609,18700,21606,19364,21723,18536,21072,20691,21233,21983,20724,22573,21688,19025,20623,18808,19491,19877,19599,20444,21125,19199,21355
21242,18315,20689,18672,19656,21451,19465,21779,22559,19982,20066,21575,20231,21107,22138,18588,21471,21333,21693,20134,20107,20707,22020,18730,19867,23840,21679,21975,20952,19669,18533,19701,19494,18624,21386,21190,20972,20561,23312,21825,20173,21664,20696,22603,20587,21621,21253,21416,20115,19027,23167,18574,21503,20327,22530,21048,20645,21307,19322,19601,20662,21804,19433,20184,19868,22155,20766,20913,21122,19926,25502,20221,18355,19118,23091,23954,20020,21340,20646,18770,21658,19512,21736,18579,21122,20742,21254,21998,20745,22705,21795,19090,20646,18829,19519,20031,19650,20537,21206,19290,21576
21307,18334,20719,18809,19778,21487,19479,21786,22589,20007,20099,21712,20272,21165,22255,18603,21490,21378,21706,20157,20205,20757,22100,18741,19939,23913,21919,22020,21057,19692,18552,19757,19504,18638,21417,21269,20975,20587,23343,21992,20173,21758,20841,22610,20639,21631,21323,21465,20155,19058,23227,18654,21744,20362,22537,21135,20669,21512,19404,19613,20772,21861,19608,20187,20013,22219,20859,20951,21295,19959,25681,20332,18396,19147,23140,23983,20024,21569,20671,18790,21780,19661,21787,18613,21178,20833,21270,22187,20789,22864,21822,19143,20655,18834,19618,20125,19655,20653,21267,19327,21742
21330,18375,20823,18849,19830,21488,19483,21793,22612,20029,20130,21787,20298,21180,22350,18655,21510,21426,21737,20173,20270,20806,22166,18743,20018,24036,22122,22067,21136,19743,18580,19807,19505,18658,21466,21340,20988,20612,23398,22059,20180,21785,20954,22617,20721,21643,21375,21514,20231,19116,23234,18702,21855,20409,22542,21156,20702,21596,19479,19641,20849,21866,19685,20239,20186,22282,20921,21044,21349,20043,25818,20495,18423,19149,23161,24010,20073,21657,20674,18807,21942,19779,21862,18719,21195,21059,21272,22376,20833,22941,21877,19146,20687,18874,19735,20129,19824,20713,21271,19334,21812
21350,18409,20900,18870,19839,21497,19518,21834,22661,20042,20134,21801,20419,21243,22360,18746,21620,21587,21795,20244,20306,21001,22203,18780,20069,24217,22269,22155,21188,19825,18630,19832,19524,18684,21530,21420,21036,20711,23520,22073,20188,21849,21000,22661,20785,21658,21467,21527,20322,19207,23284,18760,21890,20525,22565,21233,20705,21603,19609,19688,20913,21884,19733,20334,20333,22448,20938,21137,21387,20146,25946,20560,18456,19172,23179,24015,20134,21713,20698,18913,22045,19861,22341,18864,21249,21237,21280,22562,20836,22953,21974,19184,20689,18913,19764,20185,19924,20826,21274,19357,21827
21366,18418,20999,18932,19891,21544,19542,21881,22682,20052,20142,21809,20480,21323,22403,18849,21689,21707,21886,20265,20324,21213,22208,18834,20113,24513,22345,22210,21217,19884,18650,19850,19575,18711,21570,21549,21102,20762,23618,22097,20217,21901,21031,22759,20875,21689,21544,21583,20404,19286,23299,18836,21918,20608,22581,21238,20779,21647,19706,19729,20941,21983,19756,20402,20435,22592,20959,21150,21449,20233,26081,20577,18486,19211,23198,24041,20150,21737,20768,19060,22072,19911,22522,19016,21312,21393,21325,22680,20896,23002,22007,19290,20702,18986,19771,20485,19957,20941,21326,19403,21847
21385,18432,21024,18972,19910,21619,19579,21935,22711,20125,20162,21902,20481,21416,22635,18943,21724,21823,21934,20268,20383,21346,22538,18951,20146,24724,22370,22262,21247,19958,18658,19861,19598,18761,21662,21675,21169,20793,23690,22181,20272,21944,21077,22794,20959,21695,21623,21695,20454,19367,23325,18873,21923,20691,22619,21540,20855,21700,19758,19794,21038,22040,19785,20466,20453,22673,20961,21206,21457,20259,26254,20597,18517,19291,23254,24084,20170,21774,20837,19178,22091,19976,22558,19124,21385,21522,21346,22729,20981,23099,22009,19432,20772,18990,19814,20692,19989,20999,21423,19409,21917
21552,18490,21036,18978,19993,21665,19611,21972,22760,20387,20185,21928,20536,21498,22799,19039,21761,21891,22013,20360,20404,21430,22774,19038,20219,24893,22397,22327,21277,19993,18672,19890,19663,18802,21794,21691,21256,20827,23709,22250,20275,21991,21078,22806,21024,21727,21695,21969,20461,19412,23428,18954,21929,20767,22683,21787,20937,21706,19806,19822,21142,22058,19787,20524,20489,22709,20999,21272,21512,20308,26349,20624,18566,19397,23275,24147,20185,21781,20838,19242,22097,19991,22594,19190,21542,21606,21369,22782,21092,23171,22049,19687,20912,19044,19899,20809,20022,21008,21515,19444,21967
21684,18502,21044,19000,20093,21682,19650,21989,22780,20598,20193,22010,20556,21537,22907,19178,21796,21943,22066,20503,20452,21471,22909,19111,20289,25026,22414,22344,21291,20142,18702,19972,19691,18912,21888,21721,21298,20893,23744,22298,20325,21992,21091,22858,21084,21828,21807,22171,20463,19461,23534,19246,21940,20846,22723,22018,20994,21776,19849,19852,21263,22069,19798,20601,20519,22713,21001,21310,21553,20384,26416,20627,18634,19498,23314,24202,20203,21978,20874,19288,22110,20221,22599,19210,21688,21646,21419,22826,21149,23222,22051,19901,21042,19081,19962,20817,20088,21083,21661,19480,21990
21773,18546,21064,19089,20110,21700,19677,22011,22847,20739,20226,22068,20572,21574,22999,19245,21798,21943,22093,20670,20470,21568,22998,19150,20360,25141,22426,22370,21317,20271,18729,20084,19744,19049,21938,21753,21317,20914,23772,22343,20364,21995,21184,22908,21173,21969,21894,22303,20545,19501,23619,19443,21982,20866,22763,22144,21066,21927,19869,19931,21431,22083,20024,20815,20579,22733,21049,21313,21567,20434,26442,20776,18635,19551,23396,24207,20289,22129,20925,19291,22139,20375,22616,19245,21705,21659,21454,22861,21200,23244,22141,20105,21145,19144,20059,20841,20095,21144,21726,19562,22022
21791,18551,21095,19143,20127,21725,19721,22109,22889,20845,20265,22142,20610,21635,23016,19261,21825,22016,22100,20808,20475,21641,23074,19408,20411,25309,22427,22377,21358,20395,18738,20256,19815,19142,22080,21806,21322,20923,23821,22395,20459,22025,21251,22976,21273,22119,21958,22347,20583,19540,23662,19588,22010,20875,22807,22198,21125,22014,19909,19996,21588,22133,20237,21014,20680,22823,21059,21347,21570,20500,26479,20962,18660,19659,23413,24270,20403,22243,21036,19295,22188,20487,22646,19315,21787,21750,21494,22865,21306,23262,22263,20289,21257,19283,20106,20908,20107,21179,21748,19715,22044
21809,18568,21178,19161,20134,21825,19747,22205,22913,20918,20273,22218,20611,21644,23045,19306,21843,22115,22125,20861,20484,21697,23166,19588,20512,25395,22427,22401,21438,20509,18776,20361,19879,19221,22176,21924,21357,20948,23831,22402,20688,22066,21340,23038,21372,22268,21959,22416,20591,19565,23706,19667,22049,20896,22934,22228,21133,22083,19953,20096,21668,22155,20343,21141,20685,22923,21092,21408,21574,20525,26543,21061,18684,19734,23491,24333,20519,22302,21186,19304,22223,20539,22674,19366,21942,21813,21496,22880,21457,23282,22388,20437,21331,19345,20110,20910,20111,21246,21763,19904,22107
21832,18634,21229,19202,20172,21885,19779,22259,22983,20968,20284,22301,20618,21647,23059,19315,21856,22171,22186,20884,20494,21705,23302,19715,20595,25486,22461,22413,21455,20620,18893,20427,19895,19292,22233,22006,21431,20964,23887,22514,20854,22067,21393,23145,21402,22355,22003,22475,20631,19612,23813,19687,22088,20934,23043,22236,21170,22111,19989,20182,21716,22184,20395,21255,20730,23061,21167,21437,21616,20541,26590,21127,18730,19771,23500,24341,20633,22453,21295,19304,22268,20590,22686,19533,22051,21864,21530,22896,21592,23376,22398,20508,21389,19381,20180,20950,20164,21330,21801,20053,22186
21886,18679,21260,19216,20268,21994,19818,22290,23029,21003,20361,22368,20649,21708,23121,19366,21879,22277,22234,20896,20679,21706,23413,19843,20662,25517,22497,22452,21493,20695,19032,20532,19924,19336,22248,22085,21483,21054,23994,22617,20929,22091,21418,23232,21446,22459,22026,22580,20651,19616,23888,19711,22093,21008,23044,22255,21221,22276,20027,20245,21722,22233,20724,21341,20787,23211,21303,21496,21641,20544,26610,21223,18789,19804,23573,24362,20705,22547,21381,19351,22279,20636,22708,19642,22119,21881,21546,22899,21713,23546,22496,20525,21422,19397,20213,20972,20252,21440,21807,20123,22366
21995,18682,21277,19267,20403,22060,19840,22312,23084,21048,20441,22447,20705,21721,23180,19458,21898,22358,22235,20899,20781,21742,23554,19984,20686,25540,22564,22501,21629,20795,19142,20867,19943,19376,22260,22138,21546,21179,24088,22747,20929,22131,21507,23275,21512,22572,22065,22737,20673,19641,23910,19763,22122,21063,23055,22346,21227,22377,20088,20333,21727,22295,20917,21479,20792,23322,21417,21514,21654,20553,26750,21383,18861,19876,23677,24377,20748,22676,21397,19427,22339,20745,22711,19733,22188,21971,21587,22914,21776,23692,22601,20562,21481,19407,20220,20978,20361,21536,21815,20155,22492
22134,18690,21328,19306,20562,22129,19871,22350,23090,21126,20470,22489,20752,21722,23283,19527,21997,22376,22477,20918,20835,21779,23585,20117,20755,25582,22582,22576,21715,20872,19200,20978,19988,19412,22334,22143,21584,21318,24191,22803,21236,22151,21625,23303,21614,22695,22161,22912,20714,19781,24027,19811,22188,21067,23104,22449,21270,22447,20112,20350,21746,22343,20939,21598,20862,23416,21440,21515,21693,20628,26846,21532,18935,20224,23769,24392,20826,22803,21415,19529,22400,20749,22727,19822,22227,22094,21602,22964,21794,23827,22665,20648,21490,19409,20250,20993,20462,21575,21857,20187,22621
22250,18721,21367,19326,20662,22176,19928,22377,23106,21190,20545,22492,20774,21756,23370,19572,22088,22396,22636,20925,20914,21818,23621,20217,20815,25646,22698,22658,21781,20957,19224,21070,20077,19518,22413,22166,21613,21416,24249,23037,21466,22190,21724,23336,21758,22794,22265,23073,20762,19901,24182,19812,22235,21151,23179,22576,21393,22506,20138,20352,21787,22360,21003,21723,20935,23510,21444,21555,21789,20685,26890,21666,18996,20414,23845,24408,20893,22880,21450,19600,22444,20770,22740,19913,22278,22193,21629,23033,21815,23856,22746,20765,21505,19417,20295,21069,20519,21614,21873,20190,22708
22406,18747,21389,19396,20683,22180,19999,22382,23177,21234,20626,22493,20961,21790,23414,19587,22204,22429,22773,20938,20974,21867,23630,20300,20859,25716,22892,22673,21809,20987,19269,21111,20125,19597,22426,22219,21627,21436,24271,23155,21520,22246,21799,23370,21857,22822,22328,23189,20781,19977,24345,19857,22500,21209,23283,22648,21489,22599,20162,20363,21943,22403,21046,21810,21027,23553,21487,21571,21817,20740,26924,21679,19065,20541,23878,24441,20931,22959,21500,19659,22445,20801,22766,19916,22333,22308,21673,23048,21854,23886,22808,20955,21554,19429,20353,21218,20523,21617,21930,20232,22725
22468,18811,21396,19414,20711,22183,20015,22384,23318,21251,20644,22537,21084,21814,23680,19633,22318,22489,22866,21013,21014,21921,23664,20361,20886,25721,23111,22772,21836,21001,19271,21116,20130,19790,22708,22299,21643,21439,24842,23213,21522,22303,21859,23383,21916,22858,22337,23281,20786,20002,24418,19932,22696,21240,23381,22677,21539,22633,20183,20374,22109,22461,21113,21853,21088,23591,21512,21574,21827,20763,26950,21704,19081,20582,23940,24448,20966,22998,21593,19695,22448,20906,22779,19958,22341,22406,21800,23055,21921,23938,22855,21077,21567,19439,20396,21361,20584,21686,22030,20269,22753
22539,18872,21402,19423,20794,22206,20061,22442,23522,21265,20652,22542,21156,21844,23845,19657,22468,22512,22895,21089,21034,21925,23751,20411,20888,25734,23295,22913,21911,21015,19296,21128,20138,19993,22908,22383,21674,21447,25234,23230,21526,22327,21973,23428,21944,22883,22340,23330,20820,20217,24423,19993,22791,21275,23406,22750,21554,22658,20215,20438,22341,22499,21233,21855,21141,23633,21596,21579,21844,20808,26984,21777,19091,20591,24004,24463,21050,23114,21595,19699,22458,20965,22834,20038,22351,22481,21901,23076,22015,23979,22924,21189,21580,19529,20407,21528,20726,21768,22164,20309,22770
22592,18910,21466,19444,20905,22239,20152,22546,23599,21265,20670,22574,21192,21846,23962,19691,22668,22566,22902,21125,21068,21949,23841,20430,20937,25735,23303,23043,21961,21044,19347,21132,20205,20203,23033,22402,21719,21501,25532,23237,21544,22400,22026,23438,21985,22961,22352,23337,20824,20403,24433,19998,22905,21356,23411,22835,21593,22714,20240,20490,22599,22510,21332,21855,21181,23724,21684,21596,21844,20828,26988,21875,19114,20637,24017,24546,21113,23202,21605,19747,22465,21013,22895,20112,22394,22515,22026,23090,22145,23993,22968,21292,21627,19591,20431,21623,20748,21908,22421,20338,22810
22615,18930,21524,19471,21018,22294,20300,22622,23610,21457,20681,22633,21213,21876,24075,19796,22868,22574,23092,21160,21142,21999,24040,20434,21052,25757,23309,23107,21986,21159,19406,21278,20282,20312,23075,22456,21784,21519,25694,23238,21558,22488,22036,23525,22033,22989,22371,23346,20933,20526,24492,19998,23017,21392,23420,22999,21654,22764,20259,20625,22821,22541,21423,21865,21192,23802,21778,21677,21885,20831,26997,21999,19138,20677,24024,24582,21156,23237,21619,20014,22470,21046,22925,20180,22433,22524,22134,23150,22216,24161,22995,21356,21676,19659,20496,21703,20772,22028,22647,20376,22887
22640,18971,21617,19482,21122,22361,20375,22671,23625,21612,20723,22637,21248,21961,24129,19910,23030,22663,23190,21168,21229,22045,24254,20443,21161,25775,23336,23127,22008,21301,19524,21394,20376,20327,23138,22519,21870,21520,25825,23252,21604,22605,22092,23683,22043,23057,22385,23411,21053,20624,24557,20058,23132,21412,23466,23135,21694,22903,20273,20706,23042,22591,21509,21882,21192,23870,21873,21772,21916,20845,27081,22079,19152,20913,24079,24711,21159,23247,21655,20176,22477,21105,22942,20181,22522,22548,22163,23213,22223,24350,23029,21463,21754,19729,20588,21758,20773,22162,22829,20461,22971
22743,19074,21660,19528,21179,22410,20395,22686,23626,21754,20755,22745,21285,22066,24228,19999,23190,22711,23204,21202,21340,22098,24481,20478,21224,25813,23404,23149,22018,21419,19646,21524,20512,20352,23258,22526,21902,21605,25924,23256,21923,22678,22217,23810,22100,23095,22385,23505,21229,20693,24659,20157,23215,21414,23471,23261,21725,22985,20307,20768,23240,22670,21594,21891,21239,23871,21978,21803,21946,20855,27139,22195,19188,21037,24141,24798,21195,23262,21718,20218,22504,21185,22969,20241,22588,22779,22201,23288,22300,24432,23038,21540,21781,19877,20613,21825,20783,22281,23062,20553,23055
22802,19137,21693,19551,21207,22426,20516,22718,23668,21819,20836,22916,21364,22142,24303,20042,23312,22743,23218,21243,21475,22135,24679,20546,21242,25860,23456,23177,22023,21435,19787,21650,20674,20361,23382,22562,21903,21706,26064,23257,22124,22734,22330,23895,22187,23164,22399,23547,21388,20728,24681,20258,23216,21452,23476,23317,21733,23037,20372,20831,23374,22688,21703,21926,21243,23889,22025,21807,21952,20860,27233,22310,19220,21116,24141,24822,21203,23284,21787,20261,22566,21229,22997,20325,22591,22973,22228,23335,22397,24461,23042,21568,21820,19983,20642,21926,20792,22289,23255,20644,23091
23033,19164,21785,19563,21226,22448,20681,22734,23739,21860,20914,23066,21424,22170,24356,20131,23423,22796,23333,21281,21671,22225,24770,20628,21337,25867,23459,23184,22033,21509,19893,21738,20795,20401,23437,22606,21915,21816,26213,23261,22256,22808,22375,23898,22254,23266,22480,23548,21502,20772,24688,20696,23254,21467,23477,23362,21754,23052,20477,20848,23482,22705,21780,21970,21281,23916,22045,21865,21996,20892,27325,22376,19275,21131,24167,24876,21231,23294,21825,20271,22629,21307,23036,20455,22637,23160,22286,23399,22408,24534,23069,21593,21841,20093,20689,21994,20846,22311,23440,20696,23107
23133,19198,21810,19602,21232,22501,20813,22774,23847,21876,20974,23174,21450,22236,24434,20193,23487,22851,23363,21299,21842,22389,24836,20637,21421,25889,23479,23187,22435,21584,19992,21802,20880,20405,23463,22634,21927,21881,26375,23265,22314,22876,22402,24056,22329,23338,22545,23609,21572,20883,24730,20922,23339,21488,23502,23468,21762,23105,20538,20869,23532,22733,21908,22125,21411,23930,22063,21937,22005,20950,27360,22618,19311,21210,24234,24916,21260,23322,21841,20305,22674,21447,23043,20510,22684,23346,22355,23465,22434,24647,23096,21861,21899,20172,20800,22045,20856,22313,23566,20769,23319
23260,19210,21816,19669,21275,22573,20929,22848,23958,21895,20992,23193,21495,22295,24614,20240,23522,22969,23374,21318,21937,22528,24875,20717,21474,25902,23544,23231,22714,21621,20087,21821,20887,20428,23616,22640,21928,21914,26523,23315,22372,22962,22437,24069,22365,23413,22582,23654,21590,20904,24747,21020,23437,21557,23525,23592,21823,23231,20541,20874,23588,22764,22058,22259,21505,23989,22120,21986,22005,20993,27402,22785,19339,21280,24239,24973,21305,23349,21872,20419,22718,21554,23109,20568,22725,23489,22454,23518,22438,24788,23152,22062,21955,20208,20902,22070,20872,22337,23616,20794,23367
23370,19270,21863,19706,21322,22701,20971,22909,24047,21951,21086,23229,21557,22312,24718,20301,23523,23143,23379,21356,22071,22598,24883,20897,21510,25918,23589,23301,22941,21634,20121,21852,20898,20494,23799,22681,21985,21934,26648,23381,22466,23054,22491,24092,22374,23485,22648,23680,21638,20906,24846,21023,23578,21622,23535,23629,21887,23386,20561,20878,23684,22825,22279,22394,21561,24011,22203,22021,22009,21016,27404,22853,19363,21341,24319,25043,21321,23383,21978,20574,22777,21667,23213,20602,22731,23576,22544,23646,22443,24904,23253,22143,22041,20221,20998,22184,20914,22360,23712,20800,23406
23394,19328,21876,19787,21349,22770,21051,22915,24086,21995,21277,23239,21629,22323,24747,20302,23553,23186,23613,21372,22160,22605,24937,21076,21527,25958,23717,23373,23144,21642,20129,21896,20910,20618,23874,22732,22026,21995,26759,23497,22511,23103,22557,24130,22374,23550,22650,23693,21736,20924,24893,21082,23733,21691,23561,23688,22048,23558,20784,20940,23829,22912,22424,22469,21569,24044,22230,22069,22037,21020,27580,22897,19449,21379,24355,25077,21357,23404,22085,20796,22802,21771,23340,20893,22763,23609,22566,23758,22451,25182,23343,22147,22096,20293,21065,22233,20923,22365,23784,20818,23517
23525,19443,21887,19832,21369,22835,21124,22996,24154,22097,21403,23247,21754,22385,25043,20320,23635,23200,23769,21412,22207,22623,24973,21288,21589,26001,23787,23644,23310,21670,20137,21905,20980,20682,23896,22777,22047,22086,26834,23609,22539,23127,22638,24157,22392,23676,22800,23752,21795,21035,24929,21126,23909,21793,23605,23783,22183,23700,20952,21048,23966,22932,22558,22527,21587,24049,22313,22156,22084,21039,27752,22929,19611,21455,24365,25203,21381,23600,22112,20925,22820,21844,23346,21039,22806,23667,22576,23852,22481,25399,23391,22193,22161,20329,21067,22258,20950,22376,23833,20837,23595
23620,19499,21913,19839,21426,22865,21230,23113,24228,22205,21516,23370,21892,22438,25226,20381,23676,23254,23858,21441,22236,22664,25024,21425,21623,26023,23864,23799,23490,21686,20148,21908,21040,20744,23970,22781,22070,22201,26852,23684,22597,23131,22665,24206,22476,23819,22881,23834,21995,21059,24949,21167,24081,21941,23611,23934,22358,23757,21084,21164,24057,23016,22616,22545,21969,24076,22363,22217,22170,21092,27863,22945,19736,21572,24387,25257,21456,23765,22131,21000,22866,21858,23472,21138,22812,23734,22626,23877,22502,25579,23419,22200,22189,20333,21075,22260,20987,22388,23843,20838,23627
23722,19516,21939,19851,21474,22903,21337,23224,24300,22358,21604,23509,21986,22445,25298,20383,23682,23384,23884,21495,22264,22690,25182,21469,21672,26066,23902,23897,23599,21706,20160,21912,21067,20798,24048,22789,22098,22327,26880,23708,22679,23142,22938,24209,22563,23930,22899,23873,22147,21149,24989,21180,24136,22143,23652,24037,22480,23787,21195,21254,24073,23059,22650,22553,22236,24143,22448,22279,22305,21181,27877,22960,19814,21713,24576,25476,21552,23865,22148,21228,22905,21893,23558,21141,22853,23847,22665,23902,22507,25713,23475,22251,22265,20370,21104,22261,21070,22400,23863,20847,23704
23811,19540,21967,19852,21500,22951,21396,23336,24379,22579,21625,23666,22093,22465,25314,20422,23702,23463,23920,21555,22294,22696,25244,21504,21731,26180,23915,23952,23624,21716,20216,21914,21090,20884,24050,22805,22107,22394,26958,23764,22808,23206,23134,24265,22651,24061,23277,24027,22160,21226,25043,21188,24145,22245,23653,24109,22617,23889,21317,21512,24076,23070,22751,22572,22348,24145,22509,22316,22457,21252,27923,23019,19884,21834,24720,25658,21626,23866,22157,21373,23179,21917,23605,21188,22962,23941,22702,23947,22526,25835,23548,22316,22352,20408,21137,22302,21399,22453,23872,20889,23716
23911,19558,21988,19902,21504,22953,21409,23434,24466,22725,21656,23788,22158,22526,25334,20496,23807,23560,23962,21605,22353,22737,25263,21508,21908,26329,24046,23987,23642,21754,20302,21959,21244,21000,24114,22867,22171,22428,27080,23858,22955,23242,23237,24317,22660,24119,23554,24152,22236,21230,25106,21191,24173,22328,23673,24165,22761,23955,21411,21619,24085,23072,22840,22582,22394,24158,22582,22411,22588,21346,27985,23115,19921,21956,25138,25864,21633,23877,22212,21389,23355,22137,23636,21237,23084,24035,22768,23955,22593,25952,23599,22381,22469,20550,21138,22336,21670,22497,23918,20925,23778
24039,19566,22029,19960,21539,22977,21443,23516,24541,22856,21721,23804,22236,22558,25367,20604,23956,23589,24046,21662,22435,22840,25273,21527,21985,26516,24165,24037,23686,21779,20376,22014,21277,21113,24217,22980,22290,22464,27256,23937,23097,23384,23265,24374,22681,24165,23672,24230,22376,21253,25235,21233,24225,22451,23716,24170,22943,23992,21538,21640,24100,23133,22891,22628,22398,24257,22822,22528,22697,21462,28271,23191,19949,22056,25398,25941,21643,24075,22253,21446,23490,22205,23692,21275,23195,24126,23070,24099,22670,26056,23659,22468,22551,20615,21405,22338,21789,22616,23994,20950,23817
24116,19567,22156,20022,21570,23005,21465,23572,24679,23083,21775,23805,22338,22562,25556,20672,24140,23636,24168,21731,22463,22983,25294,21548,21991,26641,24279,24098,23751,21784,20380,22018,21328,21247,24382,23124,22406,22736,27434,23957,23218,23500,23287,24420,22693,24259,23708,24349,22492,21327,25472,21269,24299,22520,23737,24173,23107,24043,21679,21680,24131,23351,22939,22683,22634,24349,22962,22639,22760,21541,28452,23497,20016,22091,25564,26013,21681,24195,22281,21522,23610,22439,23722,21295,23283,24140,23309,24183,22714,26165,23811,22484,22638,20679,21603,22500,21804,22716,24077,20967,23822
24151,19574,22286,20070,21586,23041,21470,23639,24780,23265,21895,23805,22480,22648,25647,20683,24154,23701,24322,21790,22478,23087,25319,21554,22049,26717,24389,24134,23827,21791,20389,22026,21384,21401,24514,23127,22484,22920,27595,23982,23322,23505,23363,24431,22708,24364,23720,24492,22534,21413,25664,21378,24370,22596,23750,24186,23161,24145,21811,21774,24150,23493,23003,22757,22750,24428,23002,22728,22769,21583,28573,23772,20023,22093,25639,26138,21785,24254,22337,21627,23662,22589,23955,21301,23389,24464,23486,24241,22751,26261,23943,22503,22737,20721,21724,22656,21833,22761,24173,21039,23890
24209,19586,22392,20119,21610,23043,21475,23678,24891,23339,22027,23810,22592,22815,25650,20737,24170,23744,24475,21837,22576,23103,25357,21581,22093,26741,24496,24159,23879,21804,20412,22085,21418,21551,24634,23211,22529,23048,27736,23984,23335,23506,23444,24456,22721,24450,23742,24561,22565,21459,25750,21419,24451,22618,23751,24201,23218,24232,21907,21842,24229,23614,23107,22785,22786,24462,23036,22802,22793,21601,28639,23953,20034,22130,25668,26259,21887,24297,22420,21659,23703,22617,24139,21330,23409,24651,23644,24249,22841,26403,24018,22535,22845,20747,21772,22801,21845,22768,24206,21130,23966
